,subject,task,session_idx,score,sequence_id
0,5f2843ca47f0291234bda8a4,ada-prob,0,0.6667104746105752,3
1,5f2843ca47f0291234bda8a4,ada-prob,1,1.0,61
2,5f2843ca47f0291234bda8a4,ada-prob,2,1.0,110
3,5f2843ca47f0291234bda8a4,ada-prob,3,0.8708614908504085,116
4,5f2843ca47f0291234bda8a4,ada-prob,4,0.9341319481667052,111
5,5f2843ca47f0291234bda8a4,ada-prob,5,0.6170060430730436,124
6,5f2843ca47f0291234bda8a4,ada-prob,6,0.45531518147360495,20
7,5f2843ca47f0291234bda8a4,ada-prob,7,1.0,75
8,5f2843ca47f0291234bda8a4,ada-prob,8,0.706276833889045,94
9,5f2843ca47f0291234bda8a4,ada-prob,9,0.8658770327055578,136
10,5f2843ca47f0291234bda8a4,ada-prob,10,0.8427632002906059,60
11,5f2843ca47f0291234bda8a4,ada-prob,11,0.5841014964574842,50
12,5f2843ca47f0291234bda8a4,ada-prob,12,1.0,14
13,5f2843ca47f0291234bda8a4,ada-prob,13,0.643503606911488,9
14,5f2843ca47f0291234bda8a4,ada-prob,14,0.8369004157672576,143
15,5f2843ca47f0291234bda8a4,ada-pos,0,0.5818881694206676,80
16,5f2843ca47f0291234bda8a4,ada-pos,1,0.7750254253786579,0
17,5f2843ca47f0291234bda8a4,ada-pos,2,0.32858133429466396,85
18,5f2843ca47f0291234bda8a4,ada-pos,3,0.600356002643063,71
19,5f2843ca47f0291234bda8a4,ada-pos,4,0.5665278625488931,42
20,5f2843ca47f0291234bda8a4,ada-pos,5,0.8621710746150095,48
21,5f5503435d41a489068ff50b,ada-pos,0,0.8867558058795526,57
22,5f5503435d41a489068ff50b,ada-pos,1,0.48581878558271835,6
23,5f5503435d41a489068ff50b,ada-pos,2,0.033141874790238585,83
24,5f5503435d41a489068ff50b,ada-pos,3,0.9013701423598027,13
25,5f5503435d41a489068ff50b,ada-pos,4,0.7038053898104868,95
26,5f5503435d41a489068ff50b,ada-pos,5,0.1297541875203057,32
27,5f5503435d41a489068ff50b,ada-prob,0,0.22706583744261877,61
28,5f5503435d41a489068ff50b,ada-prob,1,0.1159342504143892,55
29,5f5503435d41a489068ff50b,ada-prob,2,0.7944130978802765,42
30,5f5503435d41a489068ff50b,ada-prob,3,0.5182809549387484,53
31,5f5503435d41a489068ff50b,ada-prob,4,0.16546885887225252,122
32,5f5503435d41a489068ff50b,ada-prob,5,0.6020299442608623,79
33,5f5503435d41a489068ff50b,ada-prob,6,0.43898250465651484,147
34,5f5503435d41a489068ff50b,ada-prob,7,0.6004160523748966,78
35,5f5503435d41a489068ff50b,ada-prob,8,0.43354505452005077,116
36,5f5503435d41a489068ff50b,ada-prob,9,0.4427512290279057,71
37,5f5503435d41a489068ff50b,ada-prob,10,0.9339950188554336,108
38,5f5503435d41a489068ff50b,ada-prob,11,0.5377783903094729,112
39,5f5503435d41a489068ff50b,ada-prob,12,0.16916385085402508,126
40,5f5503435d41a489068ff50b,ada-prob,13,0.4296725305787823,96
41,5f5503435d41a489068ff50b,ada-prob,14,0.15374888476770188,88
42,5f983f3b00bbab0c4b28149a,ada-prob,0,0.15585679446942816,104
43,5f983f3b00bbab0c4b28149a,ada-prob,1,0.7865458376152146,66
44,5f983f3b00bbab0c4b28149a,ada-prob,2,0.5809236866678681,146
45,5f983f3b00bbab0c4b28149a,ada-prob,3,0.601742897138529,7
46,5f983f3b00bbab0c4b28149a,ada-prob,4,0.5832045159655519,135
47,5f983f3b00bbab0c4b28149a,ada-prob,5,1.0,105
48,5f983f3b00bbab0c4b28149a,ada-prob,6,0.8473877944060688,67
49,5f983f3b00bbab0c4b28149a,ada-prob,7,0.791440067565251,21
50,5f983f3b00bbab0c4b28149a,ada-prob,8,0.525481409153562,100
51,5f983f3b00bbab0c4b28149a,ada-prob,9,0.7848375658948785,90
52,5f983f3b00bbab0c4b28149a,ada-prob,10,0.5762854997364285,19
53,5f983f3b00bbab0c4b28149a,ada-prob,11,0.5850263011095905,50
54,5f983f3b00bbab0c4b28149a,ada-prob,12,0.4435489938823291,122
55,5f983f3b00bbab0c4b28149a,ada-prob,13,1.0,81
56,5f983f3b00bbab0c4b28149a,ada-prob,14,1.0,6
57,5f983f3b00bbab0c4b28149a,ada-pos,0,0.8707882233997699,61
58,5f983f3b00bbab0c4b28149a,ada-pos,1,0.5580766908835163,94
59,5f983f3b00bbab0c4b28149a,ada-pos,2,0.915299278105096,38
60,5f983f3b00bbab0c4b28149a,ada-pos,3,0.2749942165660027,91
61,5f983f3b00bbab0c4b28149a,ada-pos,4,0.9086572747306854,82
62,5f983f3b00bbab0c4b28149a,ada-pos,5,0.6913248240515517,60
63,5e4a9e0ade1012000aa3de0e,ada-pos,0,0.00084249120205116,61
64,5e4a9e0ade1012000aa3de0e,ada-pos,1,0.2748737692650439,66
