,subject,date,completion_time_min
0,5d671e5f6c4d1700183102f9,2022-12-26T09:36:47.630672,25.829921666685742
1,5ea0ab674e66b409a8bf6b2f,2022-12-26T11:21:10.943004,26.45068833333353
2,5ea9ee97ae93691692c125c6,2022-12-27T10:09:22.267240,34.63687166666587
3,60fd8d7167e1b2309cc590c1,2022-12-27T10:01:36.378665,26.578546666665872
4,60290c574980dd7f8e378b84,2022-12-26T11:21:13.092660,26.141166666666667
5,61532c7e1593430614d3d556,2022-12-27T10:00:40.549880,21.953283333333335
6,610196eec60378705e83511f,2022-12-26T09:05:26.688393,28.732088333332538
7,616494f1ae4537c01914c758,2022-12-26T09:08:21.820997,58.50810666666666
8,60a57ec89138a40a4a5acc63,2023-02-13T10:53:44.981037,23.042023333333333
9,5ce2cde71d1060001a811155,2023-02-13T10:54:45.057667,26.557026666667063
10,5e35373e1ddb124e6c306747,2023-02-13T10:57:36.117643,23.9064033333381
11,5f8d88be68198208a829cd5f,2023-02-13T10:54:25.478405,27.444838333334527
12,5f522c40069004482b3af322,2023-02-13T10:56:49.972792,25.361110000000398
13,545d347afdf99b7f9fca22c7,2023-02-13T10:54:09.363514,28.709073333332935
14,60f364780342181eb49b70d7,2023-02-13T10:55:52.893901,30.08196166666746
15,58b20a24c352cc0001ed554b,2023-02-13T10:56:45.659173,29.251884999999902
16,57acc170c6bab4000172a42e,2023-02-13T11:01:23.536222,24.95523666666667
17,55885582fdf99b4021921fbd,2023-02-13T10:58:30.804108,28.72957666666508
18,60f0606a61eb5a43c4179887,2023-02-13T11:04:34.982769,23.308471666661898
19,5f58d87950e39f07ad1ba367,2023-02-13T10:54:53.127032,33.5367949999998
