,Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Vision,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
2,63ed04ba3753506ba0f2630a,6148afc156c049b69cde0d5e,APPROVED,2023-02-15T16:14:03.464000Z,2023-02-15T17:26:19.803000Z,2023-02-15T17:40:30.093000,2023-02-15T17:26:22.656236Z,4337,CJ8EQCN9,142,"Catalan, English, Italian, Spanish",Yes,20,Female,White,Spain,Spain,Spain,Catalan,Yes,Part-Time
3,63ede567a6e60b5da72b664e,5d373c58d8bf24001dc16884,APPROVED,2023-02-16T08:12:23.534000Z,2023-02-16T10:09:24.531000Z,2023-02-16T12:56:33.410000,2023-02-16T10:09:24.946522Z,7021,NOCODE,603,English,Yes,27,Female,White,Spain,Spain,Spain,Spanish,No,Other
4,63ede5b22ddb75214a08f359,5e75e37c0a52831469c2eb53,APPROVED,2023-02-16T08:13:44.483000Z,2023-02-16T09:12:38.880000Z,2023-02-16T13:11:14.635000,2023-02-16T09:12:39.237733Z,3535,NOCODE,612,"Lithuanian, English",Yes,28,Male,White,Lithuania,Spain,Lithuania,Lithuanian,No,Full-Time
5,63edf37d83631f1f2ce7bb88,638070625c26e262f2163254,APPROVED,2023-02-16T09:12:57.380000Z,2023-02-16T10:08:18.974000Z,2023-02-16T13:14:46.137000,2023-02-16T10:08:19.562628Z,3322,NOCODE,161,English,Yes,63,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6,63edf37e7f1fc5fd98cd2dd7,614ae1ff6ce7323ce438fe37,APPROVED,2023-02-16T09:13:31.473000Z,2023-02-16T10:27:19.955000Z,2023-02-16T13:18:51.070000,2023-02-16T10:27:20.296548Z,4429,CJ8EQCN9,212,English,Yes,30,Female,White,Ireland,United Kingdom,Ireland,English,Yes,Part-Time
7,63ee0164ac373d3cce573200,5df50a49a98a7a3924e4137e,APPROVED,2023-02-16T10:18:23.231000Z,2023-02-16T11:37:35.065000Z,2023-02-16T13:26:13.611000,2023-02-16T11:37:35.535675Z,4752,CJ8EQCN9,593,"English, Portuguese",Yes,25,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)
8,63ee0168a452b58a04cb0eec,62fcabf17fc3d7ef0952fb6c,APPROVED,2023-02-16T10:12:33.435000Z,2023-02-16T11:02:03.823000Z,2023-02-16T13:22:36.587000,2023-02-16T11:02:04.206067Z,2971,CJ8EQCN9,210,English,Yes,26,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Full-Time
0,63ecfd9a5679c0226ce6dc0d,60197530194e72083ebeacc3,APPROVED,2023-02-15T15:43:43.488000Z,2023-02-15T16:35:15.212000Z,2023-02-15T17:20:51.528000,2023-02-15T16:35:15.623139Z,3092,CJ8EQCN9,81,"English, Italian, Spanish",Yes,23,Female,White,Italy,Italy,Italy,Italian,Yes,Unemployed (and job seeking)
1,63ecfda4d937c35dfbe4f0e4,5ee3e800e1640f0bedd43489,APPROVED,2023-02-15T15:43:43.806000Z,2023-02-15T16:49:27.153000Z,2023-02-15T17:25:03.507000,2023-02-15T16:49:31.581622Z,3944,NOCODE,113,"English, Portuguese, Spanish",Yes,22,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
2,63ecfdc374b37aaf596b3919,5ee623674afa60375e30eec3,APPROVED,2023-02-15T15:44:03.860000Z,2023-02-15T16:36:08.841000Z,2023-02-15T17:28:59.861000,2023-02-15T16:36:09.337359Z,3125,CJ8EQCN9,270,"English, Portuguese",Yes,25,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
3,63edec8637a0538080256744,597753716721f5000122608f,APPROVED,2023-02-16T08:42:48.006000Z,2023-02-16T10:04:04.258000Z,2023-02-16T13:33:13.682000,2023-02-16T10:04:04.642229Z,4877,NOCODE,190,"English, Galician, Portuguese, Spanish",Yes,30,Female,White,Spain,France,Spain,Spanish,No,Full-Time
4,63edec8a2605406a22f0cad3,6310a3ffc3b0a98b26445843,APPROVED,2023-02-16T08:43:24.323000Z,2023-02-16T10:04:23.794000Z,2023-02-16T13:37:08.577000,2023-02-16T10:04:24.207634Z,4860,CJ8EQCN9,206,"English, Dutch",Yes,28,Male,White,Netherlands,Netherlands,Netherlands,Dutch,No,Full-Time
5,63edfb1925babd9ab1c78978,604e7009ec21c0e9b6990c6f,APPROVED,2023-02-16T09:45:08.708000Z,2023-02-16T10:36:28.455000Z,2023-02-16T13:45:06.809000,2023-02-16T10:36:28.880929Z,3080,CJ8EQCN9,240,English,Yes,31,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
